state,income_per_capita
Alabama,41330
Alaska,58997
Arizona,45260
Arkansas,43029
California,60984
Colorado,57794
Connecticut,72157
Delaware,52674
District of Columbia,82254
Florida,51009
Georgia,46626
Hawaii,51546
Idaho,43270
Illinois,56072
Indiana,46556
Iowa,48775
Kansas,50283
Kentucky,41658
Louisiana,45464
Maine,47732
Maryland,59919
Massachusetts,69195
Michigan,47088
Minnesota,56205
Mississippi,37624
Missouri,46680
Montana,47211
Nebraska,51439
Nevada,49278
New Hampshire,60338
New Jersey,64206
New Mexico,40977
New York,64218
North Carolina,46040
North Dakota,55180
Ohio,47822
Oklahoma,46029
Oregon,50209
Pennsylvania,54468
Rhode Island,52135
South Carolina,43804
South Dakota,51575
Tennessee,46452
Texas,51341
Utah,45473
Vermont,51692
Virginia,56133
Washington,59827
West Virginia,41000
Wisconsin,50522
Wyoming,59195
New England,65195
Mideast,61193
Great Lakes,50068
Plains,50923
Southeast,47228
Southwest,49293
Rocky Mountain,51651
Far West,59137
